A: 5 | B: 123 | C: 125 | D: 100 (10000 steps)
n = 0 -> x: 100, y: 1000, h: 135005
n = 1 -> x: 100, y: 13400, h: 1.66019e+06
n = 2 -> x: 100, y: 179560, h: 2.20979e+07
n = 3 -> x: 100, y: 2.4061e+06, h: 2.95963e+08
n = 4 -> x: 100, y: 3.22418e+07, h: 3.96575e+09
n = 5 -> x: 100, y: 4.3204e+08, h: 5.31409e+10
n = 6 -> x: 100, y: 5.78934e+09, h: 7.12088e+11
n = 7 -> x: 100, y: 7.75771e+10, h: 9.54198e+12
n = 8 -> x: 100, y: 1.03953e+12, h: 1.27863e+14
n = 9 -> x: 100, y: 1.39297e+13, h: 1.71336e+15
n = 10 -> x: 100, y: 1.86659e+14, h: 2.2959e+16
n = 11 -> x: 100, y: 2.50123e+15, h: 3.07651e+17
n = 12 -> x: 100, y: 3.35164e+16, h: 4.12252e+18
n = 13 -> x: 100, y: 4.4912e+17, h: 5.52418e+19
n = 14 -> x: 100, y: 6.01821e+18, h: 7.4024e+20
n = 15 -> x: 100, y: 8.0644e+19, h: 9.91921e+21
n = 16 -> x: 100, y: 1.08063e+21, h: 1.32917e+23
n = 17 -> x: 100, y: 1.44804e+22, h: 1.78109e+24
n = 18 -> x: 100, y: 1.94038e+23, h: 2.38667e+25
n = 19 -> x: 100, y: 2.60011e+24, h: 3.19813e+26
n = 20 -> x: 100, y: 3.48414e+25, h: 4.2855e+27
n = 21 -> x: 100, y: 4.66875e+26, h: 5.74256e+28
n = 22 -> x: 100, y: 6.25613e+27, h: 7.69504e+29
n = 23 -> x: 100, y: 8.38321e+28, h: 1.03113e+31
n = 24 -> x: 100, y: 1.12335e+30, h: 1.38172e+32
n = 25 -> x: 100, y: 1.50529e+31, h: 1.85151e+33
n = 26 -> x: 100, y: 2.01709e+32, h: 2.48102e+34
n = 27 -> x: 100, y: 2.7029e+33, h: 3.32456e+35
n = 28 -> x: 100, y: 3.62188e+34, h: 4.45492e+36
n = 29 -> x: 100, y: 4.85332e+35, h: 5.96959e+37
n = 30 -> x: 100, y: 6.50345e+36, h: 7.99925e+38
n = 31 -> x: 100, y: 8.71463e+37, h: 1.0719e+40
n = 32 -> x: 100, y: 1.16776e+39, h: 1.43634e+41
