A: 4 | B: 4 | C: 4 | D: 4 (100 steps)
n = 0 -> x: 0, y: 0, h: 0
n = 1 -> x: 0, y: 0, h: 0
n = 2 -> x: 0, y: 0, h: 0
n = 3 -> x: 0, y: 0, h: 0
n = 4 -> x: 0, y: 0, h: 0
n = 5 -> x: 0, y: 0, h: 0
n = 6 -> x: 0, y: 0, h: 0
n = 7 -> x: 0, y: 0, h: 0
n = 8 -> x: 0, y: 0, h: 0
n = 9 -> x: 0, y: 0, h: 0
n = 10 -> x: 0, y: 0, h: 0
n = 11 -> x: 0, y: 0, h: 0
n = 12 -> x: 0, y: 0, h: 0
n = 13 -> x: 0, y: 0, h: 0
n = 14 -> x: 0, y: 0, h: 0
n = 15 -> x: 0, y: 0, h: 0
n = 16 -> x: 0, y: 0, h: 0
n = 17 -> x: 0, y: 0, h: 0
n = 18 -> x: 0, y: 0, h: 0
n = 19 -> x: 0, y: 0, h: 0
n = 20 -> x: 0, y: 0, h: 0
n = 21 -> x: 0, y: 0, h: 0
n = 22 -> x: 0, y: 0, h: 0
n = 23 -> x: 0, y: 0, h: 0
n = 24 -> x: 0, y: 0, h: 0
n = 25 -> x: 0, y: 0, h: 0
n = 26 -> x: 0, y: 0, h: 0
n = 27 -> x: 0, y: 0, h: 0
n = 28 -> x: 0, y: 0, h: 0
n = 29 -> x: 0, y: 0, h: 0
n = 30 -> x: 0, y: 0, h: 0
n = 31 -> x: 0, y: 0, h: 0
n = 32 -> x: 0, y: 0, h: 0
n = 33 -> x: 0, y: 0, h: 0
n = 34 -> x: 0, y: 0, h: 0
n = 35 -> x: 0, y: 0, h: 0
n = 36 -> x: 0, y: 0, h: 0
n = 37 -> x: 0, y: 0, h: 0
n = 38 -> x: 0, y: 0, h: 0
n = 39 -> x: 0, y: 0, h: 0
n = 40 -> x: 0, y: 0, h: 0
n = 41 -> x: 0, y: 0, h: 0
n = 42 -> x: 0, y: 0, h: 0
n = 43 -> x: 0, y: 0, h: 0
n = 44 -> x: 0, y: 0, h: 0
n = 45 -> x: 0, y: 0, h: 0
n = 46 -> x: 0, y: 0, h: 0
n = 47 -> x: 0, y: 0, h: 0
n = 48 -> x: 0, y: 0, h: 0
n = 49 -> x: 0, y: 0, h: 0
n = 50 -> x: 0, y: 0, h: 0
n = 51 -> x: 0, y: 0, h: 0
n = 52 -> x: 0, y: 0, h: 0
n = 53 -> x: 0, y: 0, h: 0
n = 54 -> x: 0, y: 0, h: 0
n = 55 -> x: 0, y: 0, h: 0
n = 56 -> x: 0, y: 0, h: 0
n = 57 -> x: 0, y: 0, h: 0
n = 58 -> x: 0, y: 0, h: 0
n = 59 -> x: 0, y: 0, h: 0
n = 60 -> x: 0, y: 0, h: 0
n = 61 -> x: 0, y: 0, h: 0
n = 62 -> x: 0, y: 0, h: 0
n = 63 -> x: 0, y: 0, h: 0
n = 64 -> x: 0, y: 0, h: 0
n = 65 -> x: 0, y: 0, h: 0
n = 66 -> x: 0, y: 0, h: 0
n = 67 -> x: 0, y: 0, h: 0
n = 68 -> x: 0, y: 0, h: 0
n = 69 -> x: 0, y: 0, h: 0
n = 70 -> x: 0, y: 0, h: 0
n = 71 -> x: 0, y: 0, h: 0
n = 72 -> x: 0, y: 0, h: 0
n = 73 -> x: 0, y: 0, h: 0
n = 74 -> x: 0, y: 0, h: 0
n = 75 -> x: 0, y: 0, h: 0
n = 76 -> x: 0, y: 0, h: 0
n = 77 -> x: 0, y: 0, h: 0
n = 78 -> x: 0, y: 0, h: 0
n = 79 -> x: 0, y: 0, h: 0
n = 80 -> x: 0, y: 0, h: 0
n = 81 -> x: 0, y: 0, h: 0
n = 82 -> x: 0, y: 0, h: 0
n = 83 -> x: 0, y: 0, h: 0
n = 84 -> x: 0, y: 0, h: 0
n = 85 -> x: 0, y: 0, h: 0
n = 86 -> x: 0, y: 0, h: 0
n = 87 -> x: 0, y: 0, h: 0
n = 88 -> x: 0, y: 0, h: 0
n = 89 -> x: 0, y: 0, h: 0
n = 90 -> x: 0, y: 0, h: 0
n = 91 -> x: 0, y: 0, h: 0
n = 92 -> x: 0, y: 0, h: 0
n = 93 -> x: 0, y: 0, h: 0
n = 94 -> x: 0, y: 0, h: 0
n = 95 -> x: 0, y: 0, h: 0
n = 96 -> x: 0, y: 0, h: 0
n = 97 -> x: 0, y: 0, h: 0
n = 98 -> x: 0, y: 0, h: 0
n = 99 -> x: 0, y: 0, h: 0
