A: 4 | B: 4 | C: 4 | D: 4 (1000 steps)
n = 0 -> x: 1, y: 1, h: 8
n = 1 -> x: 1, y: 1, h: 8
n = 2 -> x: 1, y: 1, h: 8
n = 3 -> x: 1, y: 1, h: 8
n = 4 -> x: 1, y: 1, h: 8
n = 5 -> x: 1, y: 1, h: 8
n = 6 -> x: 1, y: 1, h: 8
n = 7 -> x: 1, y: 1, h: 8
n = 8 -> x: 1, y: 1, h: 8
n = 9 -> x: 1, y: 1, h: 8
n = 10 -> x: 1, y: 1, h: 8
n = 11 -> x: 1, y: 1, h: 8
n = 12 -> x: 1, y: 1, h: 8
n = 13 -> x: 1, y: 1, h: 8
n = 14 -> x: 1, y: 1, h: 8
n = 15 -> x: 1, y: 1, h: 8
n = 16 -> x: 1, y: 1, h: 8
n = 17 -> x: 1, y: 1, h: 8
n = 18 -> x: 1, y: 1, h: 8
n = 19 -> x: 1, y: 1, h: 8
n = 20 -> x: 1, y: 1, h: 8
n = 21 -> x: 1, y: 1, h: 8
n = 22 -> x: 1, y: 1, h: 8
n = 23 -> x: 1, y: 1, h: 8
n = 24 -> x: 1, y: 1, h: 8
n = 25 -> x: 1, y: 1, h: 8
n = 26 -> x: 1, y: 1, h: 8
n = 27 -> x: 1, y: 1, h: 8
n = 28 -> x: 1, y: 1, h: 8
n = 29 -> x: 1, y: 1, h: 8
n = 30 -> x: 1, y: 1, h: 8
n = 31 -> x: 1, y: 1, h: 8
n = 32 -> x: 1, y: 1, h: 8
n = 33 -> x: 1, y: 1, h: 8
n = 34 -> x: 1, y: 1, h: 8
n = 35 -> x: 1, y: 1, h: 8
n = 36 -> x: 1, y: 1, h: 8
n = 37 -> x: 1, y: 1, h: 8
n = 38 -> x: 1, y: 1, h: 8
n = 39 -> x: 1, y: 1, h: 8
n = 40 -> x: 1, y: 1, h: 8
n = 41 -> x: 1, y: 1, h: 8
n = 42 -> x: 1, y: 1, h: 8
n = 43 -> x: 1, y: 1, h: 8
n = 44 -> x: 1, y: 1, h: 8
n = 45 -> x: 1, y: 1, h: 8
n = 46 -> x: 1, y: 1, h: 8
n = 47 -> x: 1, y: 1, h: 8
n = 48 -> x: 1, y: 1, h: 8
n = 49 -> x: 1, y: 1, h: 8
n = 50 -> x: 1, y: 1, h: 8
n = 51 -> x: 1, y: 1, h: 8
n = 52 -> x: 1, y: 1, h: 8
n = 53 -> x: 1, y: 1, h: 8
n = 54 -> x: 1, y: 1, h: 8
n = 55 -> x: 1, y: 1, h: 8
n = 56 -> x: 1, y: 1, h: 8
n = 57 -> x: 1, y: 1, h: 8
n = 58 -> x: 1, y: 1, h: 8
n = 59 -> x: 1, y: 1, h: 8
n = 60 -> x: 1, y: 1, h: 8
n = 61 -> x: 1, y: 1, h: 8
n = 62 -> x: 1, y: 1, h: 8
n = 63 -> x: 1, y: 1, h: 8
n = 64 -> x: 1, y: 1, h: 8
n = 65 -> x: 1, y: 1, h: 8
n = 66 -> x: 1, y: 1, h: 8
n = 67 -> x: 1, y: 1, h: 8
n = 68 -> x: 1, y: 1, h: 8
n = 69 -> x: 1, y: 1, h: 8
n = 70 -> x: 1, y: 1, h: 8
n = 71 -> x: 1, y: 1, h: 8
n = 72 -> x: 1, y: 1, h: 8
n = 73 -> x: 1, y: 1, h: 8
n = 74 -> x: 1, y: 1, h: 8
n = 75 -> x: 1, y: 1, h: 8
n = 76 -> x: 1, y: 1, h: 8
n = 77 -> x: 1, y: 1, h: 8
n = 78 -> x: 1, y: 1, h: 8
n = 79 -> x: 1, y: 1, h: 8
n = 80 -> x: 1, y: 1, h: 8
n = 81 -> x: 1, y: 1, h: 8
n = 82 -> x: 1, y: 1, h: 8
n = 83 -> x: 1, y: 1, h: 8
n = 84 -> x: 1, y: 1, h: 8
n = 85 -> x: 1, y: 1, h: 8
n = 86 -> x: 1, y: 1, h: 8
n = 87 -> x: 1, y: 1, h: 8
n = 88 -> x: 1, y: 1, h: 8
n = 89 -> x: 1, y: 1, h: 8
n = 90 -> x: 1, y: 1, h: 8
n = 91 -> x: 1, y: 1, h: 8
n = 92 -> x: 1, y: 1, h: 8
n = 93 -> x: 1, y: 1, h: 8
n = 94 -> x: 1, y: 1, h: 8
n = 95 -> x: 1, y: 1, h: 8
n = 96 -> x: 1, y: 1, h: 8
n = 97 -> x: 1, y: 1, h: 8
n = 98 -> x: 1, y: 1, h: 8
n = 99 -> x: 1, y: 1, h: 8
n = 100 -> x: 1, y: 1, h: 8
n = 101 -> x: 1, y: 1, h: 8
n = 102 -> x: 1, y: 1, h: 8
n = 103 -> x: 1, y: 1, h: 8
n = 104 -> x: 1, y: 1, h: 8
n = 105 -> x: 1, y: 1, h: 8
n = 106 -> x: 1, y: 1, h: 8
n = 107 -> x: 1, y: 1, h: 8
n = 108 -> x: 1, y: 1, h: 8
n = 109 -> x: 1, y: 1, h: 8
n = 110 -> x: 1, y: 1, h: 8
n = 111 -> x: 1, y: 1, h: 8
n = 112 -> x: 1, y: 1, h: 8
n = 113 -> x: 1, y: 1, h: 8
n = 114 -> x: 1, y: 1, h: 8
n = 115 -> x: 1, y: 1, h: 8
n = 116 -> x: 1, y: 1, h: 8
n = 117 -> x: 1, y: 1, h: 8
n = 118 -> x: 1, y: 1, h: 8
n = 119 -> x: 1, y: 1, h: 8
n = 120 -> x: 1, y: 1, h: 8
n = 121 -> x: 1, y: 1, h: 8
n = 122 -> x: 1, y: 1, h: 8
n = 123 -> x: 1, y: 1, h: 8
n = 124 -> x: 1, y: 1, h: 8
n = 125 -> x: 1, y: 1, h: 8
n = 126 -> x: 1, y: 1, h: 8
n = 127 -> x: 1, y: 1, h: 8
n = 128 -> x: 1, y: 1, h: 8
n = 129 -> x: 1, y: 1, h: 8
n = 130 -> x: 1, y: 1, h: 8
n = 131 -> x: 1, y: 1, h: 8
n = 132 -> x: 1, y: 1, h: 8
n = 133 -> x: 1, y: 1, h: 8
n = 134 -> x: 1, y: 1, h: 8
n = 135 -> x: 1, y: 1, h: 8
n = 136 -> x: 1, y: 1, h: 8
n = 137 -> x: 1, y: 1, h: 8
n = 138 -> x: 1, y: 1, h: 8
n = 139 -> x: 1, y: 1, h: 8
n = 140 -> x: 1, y: 1, h: 8
n = 141 -> x: 1, y: 1, h: 8
n = 142 -> x: 1, y: 1, h: 8
n = 143 -> x: 1, y: 1, h: 8
n = 144 -> x: 1, y: 1, h: 8
n = 145 -> x: 1, y: 1, h: 8
n = 146 -> x: 1, y: 1, h: 8
n = 147 -> x: 1, y: 1, h: 8
n = 148 -> x: 1, y: 1, h: 8
n = 149 -> x: 1, y: 1, h: 8
n = 150 -> x: 1, y: 1, h: 8
n = 151 -> x: 1, y: 1, h: 8
n = 152 -> x: 1, y: 1, h: 8
n = 153 -> x: 1, y: 1, h: 8
n = 154 -> x: 1, y: 1, h: 8
n = 155 -> x: 1, y: 1, h: 8
n = 156 -> x: 1, y: 1, h: 8
n = 157 -> x: 1, y: 1, h: 8
n = 158 -> x: 1, y: 1, h: 8
n = 159 -> x: 1, y: 1, h: 8
n = 160 -> x: 1, y: 1, h: 8
n = 161 -> x: 1, y: 1, h: 8
n = 162 -> x: 1, y: 1, h: 8
n = 163 -> x: 1, y: 1, h: 8
n = 164 -> x: 1, y: 1, h: 8
n = 165 -> x: 1, y: 1, h: 8
n = 166 -> x: 1, y: 1, h: 8
n = 167 -> x: 1, y: 1, h: 8
n = 168 -> x: 1, y: 1, h: 8
n = 169 -> x: 1, y: 1, h: 8
n = 170 -> x: 1, y: 1, h: 8
n = 171 -> x: 1, y: 1, h: 8
n = 172 -> x: 1, y: 1, h: 8
n = 173 -> x: 1, y: 1, h: 8
n = 174 -> x: 1, y: 1, h: 8
n = 175 -> x: 1, y: 1, h: 8
n = 176 -> x: 1, y: 1, h: 8
n = 177 -> x: 1, y: 1, h: 8
n = 178 -> x: 1, y: 1, h: 8
n = 179 -> x: 1, y: 1, h: 8
n = 180 -> x: 1, y: 1, h: 8
n = 181 -> x: 1, y: 1, h: 8
n = 182 -> x: 1, y: 1, h: 8
n = 183 -> x: 1, y: 1, h: 8
n = 184 -> x: 1, y: 1, h: 8
n = 185 -> x: 1, y: 1, h: 8
n = 186 -> x: 1, y: 1, h: 8
n = 187 -> x: 1, y: 1, h: 8
n = 188 -> x: 1, y: 1, h: 8
n = 189 -> x: 1, y: 1, h: 8
n = 190 -> x: 1, y: 1, h: 8
n = 191 -> x: 1, y: 1, h: 8
n = 192 -> x: 1, y: 1, h: 8
n = 193 -> x: 1, y: 1, h: 8
n = 194 -> x: 1, y: 1, h: 8
n = 195 -> x: 1, y: 1, h: 8
n = 196 -> x: 1, y: 1, h: 8
n = 197 -> x: 1, y: 1, h: 8
n = 198 -> x: 1, y: 1, h: 8
n = 199 -> x: 1, y: 1, h: 8
n = 200 -> x: 1, y: 1, h: 8
n = 201 -> x: 1, y: 1, h: 8
n = 202 -> x: 1, y: 1, h: 8
n = 203 -> x: 1, y: 1, h: 8
n = 204 -> x: 1, y: 1, h: 8
n = 205 -> x: 1, y: 1, h: 8
n = 206 -> x: 1, y: 1, h: 8
n = 207 -> x: 1, y: 1, h: 8
n = 208 -> x: 1, y: 1, h: 8
n = 209 -> x: 1, y: 1, h: 8
n = 210 -> x: 1, y: 1, h: 8
n = 211 -> x: 1, y: 1, h: 8
n = 212 -> x: 1, y: 1, h: 8
n = 213 -> x: 1, y: 1, h: 8
n = 214 -> x: 1, y: 1, h: 8
n = 215 -> x: 1, y: 1, h: 8
n = 216 -> x: 1, y: 1, h: 8
n = 217 -> x: 1, y: 1, h: 8
n = 218 -> x: 1, y: 1, h: 8
n = 219 -> x: 1, y: 1, h: 8
n = 220 -> x: 1, y: 1, h: 8
n = 221 -> x: 1, y: 1, h: 8
n = 222 -> x: 1, y: 1, h: 8
n = 223 -> x: 1, y: 1, h: 8
n = 224 -> x: 1, y: 1, h: 8
n = 225 -> x: 1, y: 1, h: 8
n = 226 -> x: 1, y: 1, h: 8
n = 227 -> x: 1, y: 1, h: 8
n = 228 -> x: 1, y: 1, h: 8
n = 229 -> x: 1, y: 1, h: 8
n = 230 -> x: 1, y: 1, h: 8
n = 231 -> x: 1, y: 1, h: 8
n = 232 -> x: 1, y: 1, h: 8
n = 233 -> x: 1, y: 1, h: 8
n = 234 -> x: 1, y: 1, h: 8
n = 235 -> x: 1, y: 1, h: 8
n = 236 -> x: 1, y: 1, h: 8
n = 237 -> x: 1, y: 1, h: 8
n = 238 -> x: 1, y: 1, h: 8
n = 239 -> x: 1, y: 1, h: 8
n = 240 -> x: 1, y: 1, h: 8
n = 241 -> x: 1, y: 1, h: 8
n = 242 -> x: 1, y: 1, h: 8
n = 243 -> x: 1, y: 1, h: 8
n = 244 -> x: 1, y: 1, h: 8
n = 245 -> x: 1, y: 1, h: 8
n = 246 -> x: 1, y: 1, h: 8
n = 247 -> x: 1, y: 1, h: 8
n = 248 -> x: 1, y: 1, h: 8
n = 249 -> x: 1, y: 1, h: 8
n = 250 -> x: 1, y: 1, h: 8
n = 251 -> x: 1, y: 1, h: 8
n = 252 -> x: 1, y: 1, h: 8
n = 253 -> x: 1, y: 1, h: 8
n = 254 -> x: 1, y: 1, h: 8
n = 255 -> x: 1, y: 1, h: 8
n = 256 -> x: 1, y: 1, h: 8
n = 257 -> x: 1, y: 1, h: 8
n = 258 -> x: 1, y: 1, h: 8
n = 259 -> x: 1, y: 1, h: 8
n = 260 -> x: 1, y: 1, h: 8
n = 261 -> x: 1, y: 1, h: 8
n = 262 -> x: 1, y: 1, h: 8
n = 263 -> x: 1, y: 1, h: 8
n = 264 -> x: 1, y: 1, h: 8
n = 265 -> x: 1, y: 1, h: 8
n = 266 -> x: 1, y: 1, h: 8
n = 267 -> x: 1, y: 1, h: 8
n = 268 -> x: 1, y: 1, h: 8
n = 269 -> x: 1, y: 1, h: 8
n = 270 -> x: 1, y: 1, h: 8
n = 271 -> x: 1, y: 1, h: 8
n = 272 -> x: 1, y: 1, h: 8
n = 273 -> x: 1, y: 1, h: 8
n = 274 -> x: 1, y: 1, h: 8
n = 275 -> x: 1, y: 1, h: 8
n = 276 -> x: 1, y: 1, h: 8
n = 277 -> x: 1, y: 1, h: 8
n = 278 -> x: 1, y: 1, h: 8
n = 279 -> x: 1, y: 1, h: 8
n = 280 -> x: 1, y: 1, h: 8
n = 281 -> x: 1, y: 1, h: 8
n = 282 -> x: 1, y: 1, h: 8
n = 283 -> x: 1, y: 1, h: 8
n = 284 -> x: 1, y: 1, h: 8
n = 285 -> x: 1, y: 1, h: 8
n = 286 -> x: 1, y: 1, h: 8
n = 287 -> x: 1, y: 1, h: 8
n = 288 -> x: 1, y: 1, h: 8
n = 289 -> x: 1, y: 1, h: 8
n = 290 -> x: 1, y: 1, h: 8
n = 291 -> x: 1, y: 1, h: 8
n = 292 -> x: 1, y: 1, h: 8
n = 293 -> x: 1, y: 1, h: 8
n = 294 -> x: 1, y: 1, h: 8
n = 295 -> x: 1, y: 1, h: 8
n = 296 -> x: 1, y: 1, h: 8
n = 297 -> x: 1, y: 1, h: 8
n = 298 -> x: 1, y: 1, h: 8
n = 299 -> x: 1, y: 1, h: 8
n = 300 -> x: 1, y: 1, h: 8
n = 301 -> x: 1, y: 1, h: 8
n = 302 -> x: 1, y: 1, h: 8
n = 303 -> x: 1, y: 1, h: 8
n = 304 -> x: 1, y: 1, h: 8
n = 305 -> x: 1, y: 1, h: 8
n = 306 -> x: 1, y: 1, h: 8
n = 307 -> x: 1, y: 1, h: 8
n = 308 -> x: 1, y: 1, h: 8
n = 309 -> x: 1, y: 1, h: 8
n = 310 -> x: 1, y: 1, h: 8
n = 311 -> x: 1, y: 1, h: 8
n = 312 -> x: 1, y: 1, h: 8
n = 313 -> x: 1, y: 1, h: 8
n = 314 -> x: 1, y: 1, h: 8
n = 315 -> x: 1, y: 1, h: 8
n = 316 -> x: 1, y: 1, h: 8
n = 317 -> x: 1, y: 1, h: 8
n = 318 -> x: 1, y: 1, h: 8
n = 319 -> x: 1, y: 1, h: 8
n = 320 -> x: 1, y: 1, h: 8
n = 321 -> x: 1, y: 1, h: 8
n = 322 -> x: 1, y: 1, h: 8
n = 323 -> x: 1, y: 1, h: 8
n = 324 -> x: 1, y: 1, h: 8
n = 325 -> x: 1, y: 1, h: 8
n = 326 -> x: 1, y: 1, h: 8
n = 327 -> x: 1, y: 1, h: 8
n = 328 -> x: 1, y: 1, h: 8
n = 329 -> x: 1, y: 1, h: 8
n = 330 -> x: 1, y: 1, h: 8
n = 331 -> x: 1, y: 1, h: 8
n = 332 -> x: 1, y: 1, h: 8
n = 333 -> x: 1, y: 1, h: 8
n = 334 -> x: 1, y: 1, h: 8
n = 335 -> x: 1, y: 1, h: 8
n = 336 -> x: 1, y: 1, h: 8
n = 337 -> x: 1, y: 1, h: 8
n = 338 -> x: 1, y: 1, h: 8
n = 339 -> x: 1, y: 1, h: 8
n = 340 -> x: 1, y: 1, h: 8
n = 341 -> x: 1, y: 1, h: 8
n = 342 -> x: 1, y: 1, h: 8
n = 343 -> x: 1, y: 1, h: 8
n = 344 -> x: 1, y: 1, h: 8
n = 345 -> x: 1, y: 1, h: 8
n = 346 -> x: 1, y: 1, h: 8
n = 347 -> x: 1, y: 1, h: 8
n = 348 -> x: 1, y: 1, h: 8
n = 349 -> x: 1, y: 1, h: 8
n = 350 -> x: 1, y: 1, h: 8
n = 351 -> x: 1, y: 1, h: 8
n = 352 -> x: 1, y: 1, h: 8
n = 353 -> x: 1, y: 1, h: 8
n = 354 -> x: 1, y: 1, h: 8
